order_id,customer_name,email,phone,location,price,customer_type,priority
ORD001,John Doe,john@example.com,+1-555-0101,New York,199.99,B2C,High
ORD002,Jane Smith,jane@test.com,555-0102,Los Angeles,49.5,B2B,Medium
ORD003,Raj Patel,raj@example.in,919876543210,Mumbai,,B2C,Low
ORD004,Alice Brown,alice@web.com,(555) 0103,,15.99,B2C,Low
ORD003,Raj Patel,raj@example.in,91-9876543210,मુંબઈ,2500.0,B2C,
ORD005,राहुल शर्मा,rahul@mail.com,9876543211,Delhi,,B2B,High
ORD006,John Doe ,JOHN@EXAMPLE.COM,5550101,new york,199.99,b2c,High
ORD007,marie curie,marie@science.com,555-0109,Paris,85.0,B2B,Medium
ORD008,RAHUL SHARMA,rahul@mail.com,987-654-3211,दिल्ली,999999.0,B2B,
ORD009,Emily Davis,emily@davis.org,555-0110,Seattle,-50.0,B2C,Low
