CustomerID,FirstName,LastName,Email,Phone,Address,City,State,ZipCode,JoinDate,TotalSpent
59dcbe0f,Jennifer,Wright,whiteaaron@example.net,,47491 Lopez Overpass Suite 541,Lake Alexanderside,WI,17580,2024-05-03,1988.31
580661f1,samuel,Romero,sandra72@example.com,34207992,,East Catherine,CT,55024,,1569.49
1b7e0502,David,Hall,linda73@example.org,68167594,2407 Hansen Plains Suite 392,MARIOMOUTH,KY,78971,2026-03-27,4713.95
dca02eec,Joe,Wilson,bethwilliams@example.org,81805803,998 Donovan Ford Suite 346,Lake Debbie,NH,41942,2022-02-19,4148.73
ca8f3653,,Guerrero,ronaldstephens@example.net,66123927,2102 Larson Views,Scottmouth,UT,40358,,2543.33
60310461,,Johnson,vstevenson@example.org,24775703,0864 Jeremy Street Suite 533,Lake Vanessabury,,50503,2025-12-15,392.89
1017ab44,Joseph,Young,aprilmoody@example.com,72229779,0051 Davenport Greens Apt. 665,New Johnbury,NC,53695,2024-07-09,4754.88
bcdd0b48,robert,Gonzalez,charlesrichards@example.org,33427248,39726 Taylor Stravenue Apt. 543,Davidshire,AR,37280,2022-09-06,2863.89
19d9d0b5,Elaine,Nelson,robertroach@example.net,,1173 Kimberly Village,West Jade,LA,,2021-11-08,1989.31
,Barbara,Faulkner,josephharrington@example.org,25604084,6277 Wagner Street Suite 270,Simmonsland,WV,39852,2026-02-02,1614.42
3bcdf203,charles,Harris,moorefrank@example.com,59605543,1853 Parker Greens Apt. 124,EAST MARYMOUTH,FL,12456,08/19/2023,3831.41
277eb0aa,Jodi,Stewart,davissherry@example.com,84536139,1212 Cole Point Suite 101,Angelamouth,VI,50994,2021-08-16,2187.61
4ae0fd7a,Michelle,Banks,tinaromero@example.net,,7981 James Mount,North Johnhaven,ME,44222,09/08/2025,4126.39
a1396d49,Adam,Kane,mckaybrett@example.org,37299307,12983 William Meadow,COLLINSBOROUGH,IA,56077,2023-01-08,1928.57
26330c43,Shawn,Carter,rgonzalez@example.com,92029617,465 Brandi Ridge Suite 240,Rachelton,AL,92691,2026-04-13,4553.1
7ca2f582,Laura,Eaton,shawdon@example.org,42964545,84322 Michael Stravenue,Lake Jerrymouth,VA,15356,2025-08-13,3695.64
f5a7620d,Jessica,Thomas,wanda26@example.com,97119782,6769 Taylor Shoal Apt. 668,Ryanfort,ND,70783,2023-06-23,92.01
6405d362,Brian,Martinez,lwebb@example.org,33053275,791 Thomas Brooks Apt. 232,South Timothy,LA,87996,2022-05-15,1191.31
d43cdd6d,Kimberly,Bowman,katrinaanderson@example.net,31759808,82422 Donovan Fork,Staceyhaven,MH,37731,2022-03-11,-1073.64
06289878,Michele,Stewart,christopher18@example.org,,24124 Gregory Circle Suite 200,Petermouth,FL,54610,04/11/2024,3707.44
7ac067a6,joshua,Mcgee,patrickcooke@example.net,36199843,9215 Jennifer Wall Apt. 606,Brownshire,ND,94053,2022-07-29,4177.25
527c8f50,Katherine,Schmidt,rhodescourtney@example.org,55765198,542 Patrick Radial,Garyton,ME,38620,2025-05-25,3836.82
303c1503,,Hansen,butlersabrina@example.org,35657038,,Geraldport,AK,98078,2022-07-12,3367.41
46401757,Robert,Martinez,carolyngarza@example.org,83811939,0907 Anderson Lodge,New Samanthaton,MA,85013,2021-08-28,384.46
48998e5f,Matthew,Lane,rkramer@example.org,71954848,70127 Smith Meadow,LAKE REGINA,FM,85697,2024-02-01,3367.25
2d445af8,Lawrence,Brown,whill@example.org,,1296 Powell Neck,Smithside,ID,96269,2024-09-10,3350.6
a5ba2472,Glen,Owen,johnnytrujillo@example.com,83582341,6574 Steven Springs Suite 910,Annaport,ME,90208,2022-06-09,2356.83
ab61a7b1,Danny,Gould,xlyons@example.com,84704593,912 Rodriguez Burg,Barbarafurt,,94219,2023-03-17,4986.66
fa60ede1,Christopher,Wheeler,bbush@example.net,86519947,620 Mark Field,Terryside,,87086,2023-11-30,4001.34
18b475b1,Kimberly,Mora,brianagonzalez@example.net,72104830,12495 Martin Parkway Apt. 891,Port Belindatown,NC,28943,2023-02-24,2362.67
dca02eec,Joe,Wilson,bethwilliams@example.org,81805803,998 Donovan Ford Suite 346,Lake Debbie,NH,41942,2022-02-19,4148.73
520b28f6,bryan,Garza,marybailey@example.net,39539017,561 Reed Knolls,Bellbury,IA,31253,2024-03-04,3082.1
747ac231,Katherine,Cole,matthew23@example.org,87119692,941 Ferguson Avenue,Wilsonburgh,SD,63038,2025-06-07,1481.54
