Student_ID,Name,Phone,Email,Course,Grade
STU00220,Tina Huffman,5997918084,tina.huffman@brandt-lawrence.info,Computer Science,6.0
STU00018,BRADLEY BROWN,0627612674,bradley.brown@arellano-chandler.org,,59.0
,Nicole Macias,5911126048,nicole.macias@flores.com,History,34.0
STU00141,Robert King,9256508334,robert.king@klein.com,Biology,54.0
STU00354,,3468991206,nicole.liu@newton.com,Art,66.0
STU00116,Joshua David,7465377480,joshua.david@marshall-hoffman.com,Computer Science,19.0
STU00313,,7170938565,shelly.garcia@boyd-velasquez.com,Computer Science,69.0
STU00138,,8657405287,kelly.barnett@moon.info,Computer Science,96.0
STU00065,Dana Douglas,1755749684,dana.douglas@burton-christensen.com,Computer Science,12.0
STU00360,Frank Andrade,8084057384,frank.andrade@galvan-nunez.com,Art,94.0
STU00236,JOHN LANE,8254289896,john.lane@martin.info,Computer Science,3.0
ID-CQmR-5150,Amanda Cook,2455660381,amanda.cook@hernandez.com,Art,27.0
ID-XQUt-8073,Sarah Phillips,3417107174,sarah.phillips@lawrence.com,,12.0
ID-rMJT-0696,Zachary Mason,,zachary.mason@abbott-fisher.com,,16.0
STU00039,Jacqueline Brown,9024353711,jacqueline.brown@soto.com,Economics,12.0
STU00277,Micheal Green,9838515891,micheal.green@morris-smith.com,Art,6.0
STU00055,Teresa Shaw,3463216397,teresa.shaw@welch.com,History,7.0
STU00171,Elizabeth Hill,2264555692,elizabeth.hill@torres.com,,69.0
STU00228,Christopher Walker,0131559546,christopher.walker@hernandez-ramirez.biz,Economics,55.0
STU00413,vincent castillo,7975860912,vincent.castillo@rivera.biz,History,35.0
STU00269,Paul Calhoun,6766158611,paul.calhoun@johnson.com,Literature,13.0
STU00290,Sally Powers,0075043895,sally.powers@rivera.info,History,54.0
,Jennifer Butler,4035381332,,,39.0
STU00083,Steven Walker,3576765078,steven.walker@sawyer.biz,Chemistry,32.0
STU00048,Emily Sanchez,5687104675,emily.sanchez@wolfe-jacobs.info,Chemistry,90.0
STU00350,Dawn Malone,1645288037,dawn.malone@vincent.com,Literature,6.0
STU00156,Sharon Collins,1281712144,sharon.collins@wells.com,Economics,69.0
STU00317,Judy Calderon,2871472794,judy.calderon@wilson.biz,Literature,72.0
STU00147,Scott Andrade,0549292939,scott.andrade@miller-barrett.com,Art,8.0
STU00377,Tracy Peck,4966343014,tracy.peck@carter.info,Chemistry,28.0
STU00114,KELLY HERNANDEZ,1278754980,kelly.hernandez@walker-yu.info,Mathematics,51.0
STU00186,Caleb Patterson,0184043612,caleb.patterson@ponce-thomas.info,Physics,61.0
STU00118,,8684696160,ricardo.shields@thornton.com,Computer Science,19.0
STU00032,EMILY HOLMES,3600453352,emily.holmes@mccann.com,Art,85.0
STU00117,,3550340192,robin.lee@mcguire.biz,Literature,64.0
STU00291,Matthew Sanchez,4596108429,matthew.sanchez@travis-gray.com,Economics,109.0
ID-ydVb-6152,jessica bond,0387321113,,Chemistry,22.0
STU00400,Dale Walker,0805196136,dale.walker@brennan.org,Biology,41.0
STU00427,Devin Duffy,3916519499,devin.duffy@olson.com,Economics,114.0
STU00218,Joseph Kim,2960197942,joseph.kim@fox.org,Biology,66.0
STU00485,Elizabeth Smith,8116812029,elizabeth.smith@gonzalez.info,Computer Science,66.0
STU00000,Bianca Lee,8570839347,bianca.lee@logan.com,Biology,69.0
STU00107,Jessica Benson,2918993349,jessica.benson@garcia.com,Physics,33.0
STU00004,Thomas Jimenez,,thomas.jimenez@shah.com,Biology,81.0
STU00139,Kristin King,,kristin.king@vasquez.com,Art,22.0
STU00179,DAVID MILLER,6132647037,david.miller@bailey-perry.com,History,29.0
STU00283,Jack Adams,3618432141,jack.adams@wilkerson.com,Mathematics,50.0
STU00265,Brandon Roberts,0089933996,brandon.roberts@paul-cook.com,History,52.0
STU00179,DAVID MILLER,6132647037,david.miller@bailey-perry.com,History,29.0
STU00450,Jenna Barnett,0122822111,jenna.barnett@watson.com,Biology,84.0
STU00100,Nicholas Jordan,8213002817,nicholas.jordan@wilson-evans.info,Computer Science,85.0
STU00255,Cole Berry,7338662935,cole.berry@moore-knight.com,History,78.0
,Joshua Walton,3728324747,joshua.walton@lopez.com,,18.0
STU00405,Chris Leonard,8656371489,chris.leonard@thomas.com,,23.0
STU00002,Erin Ortega,4663616607,erin.ortega@nichols.com,Biology,-38.0
STU00489,John Bullock,5130050175,john.bullock@hayes.com,Computer Science,132.0
STU00181,Steven Lester,0306567340,steven.lester@thompson.com,Economics,
STU00039,Jacqueline Brown,9024353711,jacqueline.brown@soto.com,Economics,12.0
STU00201,amy barker,7691912578,amy.barker@graham-hood.org,History,-3.0
STU00081,Jose Lopez,6188085341,jose.lopez@walton.com,Economics,54.0
STU00237,MATTHEW DAVIS,9888140534,matthew.davis@garcia-anderson.org,Economics,77.0
STU00098,Curtis Benton,2672261643,curtis.benton@nelson.com,Literature,88.0
STU00243,Peter Chang,9514135680,peter.chang@murray-parker.com,Physics,89.0
STU00024,HAROLD SMITH,5024326335,harold.smith@barton.com,Literature,42.0
STU00031,Xavier Adams,9125902965,xavier.adams@campbell.biz,Biology,6.0
STU00205,Carol Vaughn,2009715377,carol.vaughn@evans.com,Economics,37.0
STU00272,Destiny Strong,7415056918,destiny.strong@ray.info,,78.0
STU00230,DAISY KELLY,7447594596,daisy.kelly@acosta.com,,87.0
ID-eXhO-5626,holly wood,4385028498,holly.wood@cisneros.com,Mathematics,12.0
STU00064,Paul Gomez,3231870868,paul.gomez@gregory.com,Art,31.0
STU00478,adam weber,0209337206,adam.weber@davenport-curtis.com,History,92.0
STU00261,,6713654474,john.fletcher@banks.info,Economics,23.0
STU00062,Theresa Greer,5369115856,theresa.greer@miller.net,Economics,145.0
STU00012,Jennifer Butler,4035381332,jennifer.butler@blair.com,Economics,39.0
STU00333,Justin Martin,7684886453,,Biology,-20.0
ID-QNIP-9975,Katherine Garza,1998277912,katherine.garza@lee-dixon.biz,Art,100.0
ID-qJkS-5436,patrick diaz,1451962967,patrick.diaz@bradshaw-smith.biz,Biology,87.0
STU00490,Jeremy Chang,1943067567,jeremy.chang@cherry.com,Art,2.0
STU00415,William Wright,7130654376,william.wright@baird-wilson.org,Art,4.0
