transaction_id,customer_id,customer_name,email,phone,order_date,delivery_date,city,state,pincode,category,product_name,quantity,unit_price,discount_percent,gst,shipping_cost,payment_method,payment_status,order_status,currency,total_amount
TXN_1080,CUST_157,Tejas Tiwari,tejastiwari15@example.com,00997700886,2026-03-04,2026-03-08,Bettiah,राजस्थान,211823,Electronics,Electronics Product 92,2.0,0.0,10,906.63,100,Net Banking,Refunded,Cancelled,INR,5943.47
TXN_1182,CUST_288,Eiravati Sachdev,eiravatisachdev94@example.com,07423122099,2025-09-16,2025-09-17,फतेहपुर,Haryana,172897,Fashion,Fashion Product 76,2.0,3023.99,15,943.34,100,Cash on Delivery,Failed,Shipped,INR,6184.12
TXN_1042,CUST_137,हरीश सरकार,हरीशसरकार4@example.com,+914936899809,2026-04-20,2026-04-21,,पंजाब,022961,Fashion,Fashion Product 70,5.0,4323.82,0,3900.44,50,Cash on Delivery,Pending,Cancelled,EUR,€11111.1
TXN_1169,CUST_255,कम्बोज श्रीवास्तवजी,कम्बोजश्रीवास्तवजी19@example.com,03585730652,2026-06-08,2026-06-11,दालखोला,राजस्थान,928557,Home,Home Product 54,4.0,1088.45,10,723.32,100,,Failed,Shipped,INR,4741.74
TXN_1051,CUST_121,लक्ष्मी चतुर्वेदी,लक्ष्मीचतुर्वेदी83@example.com,03597746886,2025-08-08,2025-08-12,Mahbubnagar,West Bengal,758181,Fashion,Fashion Product 69,1.0,0.0,15,231.24,50,UPI,Refunded,Processing,INR,1515.92
TXN_1176,CUST_186,Chandresh Ramaswamy,chandreshramaswamy72@example.com,09813646225,2026-02-09,2026-02-12,Aurangabad,Nagaland,168622,Fashion,Fashion Product 35,5.0,2791.05,20,2009.56,0,Credit Card,Success,Shipped,INR,13173.76
TXN_8523,CUST_444,ललित Hari,ललितhari@example.com,+917280512927,2026-01-13,2026-01-20,अन्तर्गत,अरूणाचल प्रदेश,202590,Beauty,Beauty Product 74,1.0,2383.97,5,2038.29,0,UPI,Failed,Delivered,INR,13362.15
TXN_1193,CUST_144,Lila Vig,lilavig79@example.com,+914091570184,2025-09-06,2025-09-13,Bhagalpur,केरल,485714,Beauty,Beauty Product 64,5.0,1975.67,15,1529.39,100,Credit Card,Pending,Shipped,USD,$120.8
TXN_1072,CUST_239,Kashvi Sagar,kashvisagar29@example.com,03391878519,2025-08-11,2025-08-17,,Odisha,587139,Fashion,Fashion Product 44,,,5,289.9,50,Net Banking,Refunded,Delivered,INR,1900.45
TXN_1052,CUST_186,Shivani Varghese,shivanivarghese98@example.com,01375060685,2026-04-03,2026-04-07,Jodhpur,मणिपुर,152204,Home,Home Product 63,1000.0,4257.1,15,1954.01,0,Credit Card,Failed,Shipped,INR,12809.62
