EmpID,Name,BirthDate,HireDate,Department,Salary,Phone,Email
E0498,Jessica Harris,1995-10-13,2018-08-25,Engineering,142714.54,4231220994,arthurgreene@example.net
E0359,Jessica Fowler,1993-09-04,2022-09-19,,147568.51,5889163756,grant89@example.com
E0446,Marc Norman,1990-09-03,2016-05-07,InfoTech,49274.24,6433472282,kari89@example.org
E0032,Taylor Smith,,2025-07-31,Finance,56290.32,2045053315,jonesjason@example.com
E0128,Nichole Alvarez,1985-02-27,2020-08-14,Sales,105056.17,5814770054,hayesjeffrey@example.net
E0125,Christine Gallegos,1998-03-27,2019-10-05,Sales,125702.97,1818835523,lisahall@example.org
E0449,Frank Williams,2003-01-29,2026-04-25,hr,88604.63,5642400825,tracy98@example.com
E0124,Samantha Davis,1974-12-15,2030-12-27,Marketing,132893.28,3696816453,williamsmatthew@example.org
E0077,Denise King,1968-09-24,1999-11-01,,78275.72,5512567468,david82@example.org
E0416,Maureen Hernandez,1966-08-27,2019-06-23,Engg,,6512694486,cummingscraig@example.com
E0372,Deborah May,1986-11-23,2011-03-09,Engineering,-77982.29,2288515879,nicole52@example.com
E0071,Robert Medina,1993-06-04,2019-05-01,IT,66385.17,8120679740,lpetersen@example.com
E0153,Dustin Newman,1966-09-01,2026-07-09,IT,100002.18,5115447962,jford@example.net
E0102,Marissa Hernandez,1963-01-16,1989-08-19,Marketing,88916.54,3515850643,molly71@example.net
E0161,Trevor Peterson,1993-08-12,2014-11-17,Sales,100942.36,5782911467,zoemoore@example.com
E0027,Monica Logan,1993-08-22,2014-04-09,Finance,149829.99,1183842513,kennethnovak@example.net
E0440,Tammy Anderson,1972-08-15,2024-11-28,Finance Dept,101324.06,4506159399,jennifer58@example.com
E0010,Derek Wright,1998-09-21,2025-11-22,,94286.74,0122691669,julie69@example.com
E0406,Tiffany Mcclain,1996-08-28,2017-11-24,IT,60559.62,5913651777,rhodescourtney@example.org
E0399,Carl Green,1998-07-25,2019-09-05,Sales,99781.63,8725639427,destiny35@example.org
E0097,Bruce Collier,1994-06-09,2024-08-17,HR,91516.45,1236851604,william46@example.com
E0188,Autumn Hampton,1990-11-22,2016-03-11,HR,114931.12,,heather73@example.org
E0263,Adam Jackson,1994-07-16,2019-12-03,HR,108879.75,7012770632,ariel18@example.org
E0492,Joshua Cunningham,2002-02-28,2022-07-03,Finance,146347.05,,afischer@example.net
E0180,Amber Rios,1979-02-11,2001-05-07,InfoTech,-119354.01,9728962309,samuel67@example.com
E0208,Gina Mcmillan,1970-05-04,2001-11-19,Engineering,114662.51,8705685662,cporter@example.org
E0374,Gregg Weaver,2000-08-26,2020-08-01,HR,113727.96,3424420438,randallloretta@example.com
E0290,,2004-02-09,2025-10-13,Marketing,53281.04,5374741124,njohnson@example.org
E0139,Christopher Park,1981-07-19,2011-02-09,Sales,125593.64,8862392407,adam29@example.net
E0493,Karen Wood,1998-04-14,2024-07-06,HR,78145.79,5543840460,vanessa95@example.net
E0491,,1982-01-07,2013-12-04,Engineering,82517.55,,daniel69@example.com
E0131,Mark Kelley,1982-08-26,2028-09-23,Finance,111073.98,0377889255,shawn96@example.org
E0088,Michael Lyons,1979-01-18,2014-01-28,Finance,43948.9,1343161172,mkim@example.org
E0329,Jesse Ward,1994-07-09,2022-03-01,HR,140983.42,3457861035,michaelscott@example.org
E0489,Crystal Lang,1986-06-19,2016-05-23,Engineering,,0698042043,colemanjonathan@example.org
E0288,Jodi Jones,1963-07-25,1989-05-24,Finance,46851.11,2344565574,sweeneydeborah@example.net
E0214,Michael Jenkins,2002-02-18,2024-02-22,Sales,68771.78,8771753556,thorntonapril@example.net
E0350,Brandon Reyes,1989-01-19,2013-11-01,Sales,108507.76,,crystalpham@example.org
E0453,Melanie Flores,1968-03-27,2012-06-28,IT,55028.64,1797497350,amber40@example.net
E0200,John Harris,2001-10-21,2021-01-09,,101467.69,4064039106,
E0158,Lindsey Hernandez,1966-01-25,2023-09-21,Finance,52953.71,4739473121,sabrinacollins@example.net
E0351,Rachael Howard DDS,1993-07-03,2017-05-09,IT,-106990.2,4835642087,paul20@example.com
E0171,Luis Bullock,,1997-03-25,Sales,142712.67,,marydunn@example.net
E0460,Richard Turner,1966-05-30,2003-07-27,,104316.65,6300979251,qjames@example.org
E0234,Justin Brown,1997-10-15,2024-05-20,IT,119298.94,7993712406,ashleyhernandez@example.com
E0429,Andrew Dunn,1966-09-16,2025-10-28,Finance,142453.59,7553942373,pamela83@example.net
E0295,Clayton Steele,1995-04-14,2019-11-22,IT,,6670662532,kcarlson@example.com
E0246,Gregory Schneider,1986-06-17,2022-04-21,IT,127753.14,2266093796,heather62@example.com
E0291,Jeffrey Smith,1975-02-20,2000-02-21,Engineering,116656.58,,karen19@example.org
E0378,Deanna Bartlett,1965-01-30,1989-01-01,Information Technology,145872.28,8160648422,jhawkins@example.com
E0341,Randy Rodriguez,1967-09-18,1996-11-24,,135793.41,2235697252,aowens@example.org
E0049,Richard Lawson,1982-06-14,2016-04-09,Marketing,82842.45,9096705466,nramos@example.net
E0060,Tommy Evans,1987-01-23,2019-04-27,Marketing,66824.98,7996507527,tracynelson@example.com
E0116,Gina Wilson,1965-08-24,1993-03-22,Sales,,2296120183,michelleramsey@example.com
E0385,Thomas Russell,1993-06-28,2024-05-29,InfoTech,146879.16,8801336138,lori82@example.org
E0011,Zachary Taylor,1994-02-08,2013-08-25,Marketing,98202.58,8018451462,callahaneric@example.org
