Shipment_ID,Customer_Name,Contact_Phone,Origin,Destination,Order_Date,Delivery_Date,Weight_kg,Status
SHP-297636,Molly Rodriguez,6329323383,Mendeztown,East Carlos,2026-02-26,2026-03-08,75.84,
SHP-960408,Nicholas Monroe,5791662169,Grimesmouth,Reedside,2026-05-02,2026-05-12,99.09,Delivered
SHP-183336,Karen Shaw,7668801906,Josephstad,Port Paul,2026-01-10,2026-01-11,320.19,In Transit
SHP-802559,Hayden Ortega,4110335359,Parrishton,Carolinestad,2025-08-19,2025-09-02,236.36,In Transit
SHP-199326,Robert Taylor,8334179373,North Mariabury,,2025-12-01,2025-11-26,264.41,In Transit
SHP-849398,Ray Ramos,2033653860,East Stevenville,South Paul,2025-11-08,2025-11-10,54.94,Delivered
SHP-667296,Barry Welch,8289454630,Wendyland,Goodville,2025-12-29,2026-01-07,68.01,Cancelled
SHP-889216,Karen Hoffman,5151887478,North Elizabethmouth,Lake Christina,2026-03-08,2026-03-12,293.76,Delivered
SHP-922471,Russell Richardson,9074999565,Murrayport,Shawchester,2025-09-11,,10.02, Pending
SHP-408467,William Jones,9355364489,Lake Willie,Williamsview,2026-02-11,2026-02-25,309.61,In Transit
SHP-525187,Kaylee Miller,5212581851,East Tinafort,Sharitown,2025-10-19,2025-10-27,482.59,In Transit
SHP-855731,,9786748825,Danielchester,South Aaron,,2026-04-20,-394.04232099758383,Delivered
SHP-802685,Christopher Jenkins,3021598245,,South Christopherview,2025-11-12,2025-11-16,409.21,cancelled
SHP-637333,Alexander Gomez,7939173425,New Carlymouth,Smithchester,2025-12-08,2025-12-13,21.19,Pending
SHP-946826,Samantha Terry,5113386226,East Marymouth,North Jennifer,2025-11-25,2025-12-03,56.23,Pending
SHP-205239,Jessica Fox,7971399399,Smithberg,Pittsberg,2025-08-08,2025-08-19,424.77,Pending
SHP-812591,Sherry Ford,,Kimfort,East Debbieland,2026-06-02,2026-06-07,,In Transit
SHP-771088,Colleen Nguyen,1438989805,East Lydiamouth,Adamsborough,2026-06-30,2026-07-07,52.87,Pending
SHP-498535,Luke Yates,6964188417,North Josephfurt,Lake Peter,2025-11-27,2025-12-03,336.89,Cancelled
SHP-913608,Jamie Lopez,2753459822,New Melissabury,Jenniferside,2026-05-24,2026-05-29,191.35,Cancelled
SHP-290719,Kayla Jackson,3057629778,Sandrashire,East Nicholasberg,2025-08-21,2025-08-25,414.84, Pending
SHP-965401,Melanie Wilson DVM,8274273035,Brooksmouth,Kariborough,2026-03-01,2026-03-06,-339.35232099758383,PENDING
SHP-957915,Michael Moore,3250324141,North Jodibury,Port Marissa,2025-10-30,2025-11-13,424.12,Delivered
SHP-119857,Jason Gutierrez,8293928340,South Warren,Salaston,2026-04-10,2026-04-12,19.29,In-Transit
SHP-950823,William Sparks,6859286614,South Tammie,New Tammy,2025-11-16,2025-11-18,474.69,PENDING
SHP-223172,Brittany Cantu,1118543408,Williamview,Davenportfort,2025-10-13,2025-10-18,93.39,Pending
SHP-502206,Paul Finley,7829772942,Brandishire,West Desireebury,2025-08-03,,54.68,Cancelled
SHP-720298,Michael Meza,1665484476,New Stacy,Weaverburgh,2026-01-16,2026-01-21,422.99,Delivered
SHP-725637,,7525484303,Lake Judith,Jasonhaven,2025-09-03,2025-09-06,305.1,In Transit
SHP-949153,Chelsea Jacobs,9886101513,North Shannon,Toniland,2026-01-22,2026-02-02,173.91,Cancelled
SHP-964915,Derrick Clayton,2721355673,Amyberg,Kramerton,2025-07-28,2025-07-31,371.78,Delivered
SHP-244192,Darrell Ortiz,5650101484,West Stephaniebury,Port James,2025-09-17,2025-10-01,219.79,Pending
