customer_id,full_name,email,phone,address,city,state_name,pincode,aadhaar,pan,date_of_birth,gender,source_system,scenario_tag,created_at
1,Raj Sharma,raj@gmail.com,9876543210,12 Mg Road,Delhi,Delhi,110001,123412341234,Abcde1234F,1995-01-15,Male,Crm,base_exact,2026-07-09
2,Raj Sharma,raj@gmail.com,9876543210,12 Mg Road,Delhi,Delhi,110001,123412341234,Abcde1234F,1995-01-15,Male,Crm,exact_duplicate,2026-07-09
3,Raj Sharma,raj@gmail.com,9876543210,12 Mg Road,Delhi,Delhi,110001,123412341234,Abcde1234F,1995-01-15,Male,Crm,same_entity_whitespace_case,2026-07-09
4,Raj Sharma,raj@gmail.com,9876543210,12 Mg Road,Delhi,Delhi,110001,123412341234,Abcde1234F,1995-01-15,Male,Crm,fuzzy_name_typo,2026-07-09
5,Raj Sharma,raj@gmail.com,9876543210,12 Mg Road,Delhi,Delhi,110001,123412341234,Abcde1234F,1995-01-15,Male,Crm,fuzzy_name_typo_2,2026-07-09
6,R. Sharma,raj@gmail.com,9876543210,12 Mg Road,Delhi,Delhi,110001,123412341234,Abcde1234F,1995-01-15,Male,Crm,initials_variant,2026-07-09
7,Raj S.,raj@gmail.com,9876543210,12 Mg Road,Delhi,Delhi,110001,123412341234,Abcde1234F,1995-01-15,Male,Crm,surname_missing_variant,2026-07-09
8,Raj,raj@gmail.com,9876543210,12 Mg Road,Delhi,Delhi,110001,123412341234,Abcde1234F,1995-01-15,Male,Crm,partial_name_only,2026-07-09
9,,raj@gmail.com,9876543210,12 Mg Road,Delhi,Delhi,110001,123412341234,Abcde1234F,1995-01-15,Male,Crm,missing_name,2026-07-09
10,Raj Sharma,raj@gmail.com,9876543210,12 Mg Road,Delhi,Delhi,110001,123412341234,Abcde1234F,1995-01-15,Male,Crm,missing_email,2026-07-09
11,Raj Sharma,raj@gmail.com,9876543210,12 Mg Road,Delhi,Delhi,110001,123412341234,Abcde1234F,1995-01-15,Male,Crm,missing_phone,2026-07-09
12,Raj Sharma,raj@gmail.com,9876543210,12 Mg Road,Delhi,Delhi,110001,123412341234,Abcde1234F,1995-01-15,Male,Crm,missing_address,2026-07-09
13,Raj Sharma,raj@gmail.com,9876543210,12 Mg Road,Delhi,Delhi,110001,123412341234,Abcde1234F,1995-01-15,Male,Crm,missing_legal_ids,2026-07-09
16,Raj Sharma,raj.new@gmail.com,9876543210,12 Mg Road,Delhi,Delhi,110001,123412341234,Abcde1234F,1995-01-15,Male,Crm,changed_email,2026-07-09
17,Raj Sharma,raj@gmail.com,9999999999,12 Mg Road,Delhi,Delhi,110001,123412341234,Abcde1234F,1995-01-15,Male,Crm,changed_phone,2026-07-09
18,Raj Sharma,raj.office@gmail.com,8888888888,44 Park Street,Delhi,Delhi,110001,123412341234,Abcde1234F,1995-01-15,Male,Crm,changed_phone_email_address,2026-07-09
19,Raj Sharma,raj@gmail.com,9876543210,44 Park Street,Delhi,Delhi,110001,123412341234,Abcde1234F,1995-01-15,Male,Crm,changed_address,2026-07-09
20,Raj Sharma,raj.work@gmail.com,7777777777,Noida Sector 62,Noida,Delhi,201301,123412341234,Abcde1234F,1995-01-15,Male,Crm,changed_city_address,2026-07-09
21,Raj Sharma,raj@gmail.com,9876543210,12 Mg Road,Delhi,Delhi,110001,123412341234,Aaaaa9999Z,1995-01-15,Male,Crm,pan_conflict_should_not_auto_merge,2026-07-09
22,Raj Sharma,raj@gmail.com,9876543210,12 Mg Road,Delhi,Delhi,110001,999988887777,Abcde1234F,1995-01-15,Male,Crm,aadhaar_conflict_should_not_auto_merge,2026-07-09
23,Rakesh Sharma,rahul@gmail.com,9876543210,12 Mg Road,Delhi,Delhi,110001,111122223333,Pqrsx1234T,2002-04-20,Male,Crm,shared_phone_family,2026-07-09
24,Priya Sharma,priya@gmail.com,9876543210,12 Mg Road,Delhi,Delhi,110001,555566667777,Lmnop5678R,1998-07-08,Female,Crm,shared_phone_family,2026-07-09
25,Rakesh Sharma,family@gmail.com,9000000001,House 10,Noida,Uttar Pradesh,201301,777788889999,Aaaaa1111A,1970-05-12,Male,Crm,shared_email_family,2026-07-09
26,Sunita Sharma,family@gmail.com,9000000002,House 10,Noida,Uttar Pradesh,201301,888899990000,Bbbbb2222B,1975-09-09,Female,Crm,shared_email_family,2026-07-09
27,Amit Kumar,amit@gmail.com,8000000001,Flat 401 Green Residency,Mumbai,Maharashtra,400001,333344445555,Cccde3333C,1992-11-11,Male,Crm,shared_address_household,2026-07-09
28,Neha Kumar,neha@gmail.com,8000000002,Flat 401 Green Residency,Mumbai,Maharashtra,400001,444455556666,Dddde4444D,1996-03-18,Female,Crm,shared_address_household,2026-07-09
29,Vikas Singh,vikas1@gmail.com,8111111111,Lucknow,Lucknow,Uttar Pradesh,226001,101010101010,Abcde1111A,1993-01-01,Male,Crm,same_name_different_person_1,2026-07-09
30,Vikas Singh,vikas2@gmail.com,8222222222,Kanpur,Kanpur,Uttar Pradesh,208001,202020202020,Fghij2222B,1993-01-01,Male,Crm,same_name_different_person_2,2026-07-09
31,Sameer Khan,sameer.khan@gmail.com,9000111122,Aliganj,Lucknow,Uttar Pradesh,226024,303030303030,Klmno3333C,1991-06-10,Male,Crm,same_name_family_like_contact_1,2026-07-09
32,Sameer Khan,sameer.khan@gmail.com,9000111122,Aliganj,Lucknow,Uttar Pradesh,226024,303030303031,Klmno3333D,1991-06-10,Male,Crm,same_contact_but_unique_id_conflict,2026-07-09
33,Raj Sharma,raj@gmail.com,9876543210,12 Mg Road,Delhi,Delhi,110001,123412341234,Abcde1234F,1995-01-15,Male,Crm,multilingual_hindi,2026-07-09
34,Raj Sharma,raj@gmail.com,9876543210,12 Main Street,Delhi,Delhi,110001,123412341234,Abcde1234F,1995-01-15,Male,Crm,multilingual_transliteration_variant,2026-07-09
35,Raj Kumar,rajkumar@gmail.com,9000101010,Sector 18,Noida,Uttar Pradesh,201301,121212121212,Pqrst4444D,1990-03-05,Male,Crm,semantic_linguistic_variant,2026-07-09
